ITU通道CHN,CHN_NUM,频率FREQ/GHz,波长WL/nm
C13,1,191300,1567.13
H13,2,191350,1566.72
C14,3,191400,1566.31
H14,4,191450,1565.90
C15,5,191500,1565.50
H15,6,191550,1565.09
C16,7,191600,1564.68
H16,8,191650,1564.27
C17,9,191700,1563.86
H17,10,191750,1563.45
C18,11,191800,1563.05
H18,12,191850,1562.64
C19,13,191900,1562.23
H19,14,191950,1561.83
C20,15,192000,1561.42
H20,16,192050,1561.01
C21,17,192100,1560.61
H21,18,192150,1560.20
C22,19,192200,1559.79
H22,20,192250,1559.39
C23,21,192300,1558.98
H23,22,192350,1558.58
C24,23,192400,1558.17
H24,24,192450,1557.77
C25,25,192500,1557.36
H25,26,192550,1556.96
C26,27,192600,1556.55
H26,28,192650,1556.15
C27,29,192700,1555.75
H27,30,192750,1555.34
C28,31,192800,1554.94
H28,32,192850,1554.54
C29,33,192900,1554.13
H29,34,192950,1553.73
C30,35,193000,1553.33
H30,36,193050,1552.93
C31,37,193100,1552.52
H31,38,193150,1552.12
C32,39,193200,1551.72
H32,40,193250,1551.32
C33,41,193300,1550.92
H33,42,193350,1550.52
C34,43,193400,1550.12
H34,44,193450,1549.72
C35,45,193500,1549.32
H35,46,193550,1548.91
C36,47,193600,1548.51
H36,48,193650,1548.11
C37,49,193700,1547.72
H37,50,193750,1547.32
C38,51,193800,1546.92
H38,52,193850,1546.52
C39,53,193900,1546.12
H39,54,193950,1545.72
C40,55,194000,1545.32
H40,56,194050,1544.92
C41,57,194100,1544.53
H41,58,194150,1544.13
C42,59,194200,1543.73
H42,60,194250,1543.33
C43,61,194300,1542.94
H43,62,194350,1542.54
C44,63,194400,1542.14
H44,64,194450,1541.75
C45,65,194500,1541.35
H45,66,194550,1540.95
C46,67,194600,1540.56
H46,68,194650,1540.16
C47,69,194700,1539.77
H47,70,194750,1539.37
C48,71,194800,1538.98
H48,72,194850,1538.58
C49,73,194900,1538.19
H49,74,194950,1537.79
C50,75,195000,1537.40
H50,76,195050,1537.00
C51,77,195100,1536.61
H51,78,195150,1536.22
C52,79,195200,1535.82
H52,80,195250,1535.43
C53,81,195300,1535.04
H53,82,195350,1534.64
C54,83,195400,1534.25
H54,84,195450,1533.86
C55,85,195500,1533.47
H55,86,195550,1533.07
C56,87,195600,1532.68
H56,88,195650,1532.29
C57,89,195700,1531.90
H57,90,195750,1531.51
C58,91,195800,1531.12
H58,92,195850,1530.72
C59,93,195900,1530.33
H59,94,195950,1529.94
C60,95,196000,1529.55
H60,96,196050,1529.16
